estado,unidade,tipo_unidade,unidade_original,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales,categoria_preliminar,filtro_bosque_pct,categoria_definitiva,_status
Miranda,Los Salias (San Antonio de los Altos),municipio,Miranda - Los Salias (San Antonio de los Altos),70620,Localidad mediana,21,21,10,7,Posible bosque,,Semibosque,ok
Miranda,Páez (Río Chico),municipio,Miranda - Páez (Río Chico),39021,Localidad mediana,6,6,3,2,Desierto,,Desierto,ok
Miranda,Paz Castillo (Santa Lucía),municipio,Miranda - Paz Castillo (Santa Lucía),115460,Localidad grande,13,13,8,3,Desierto,,Desierto,ok
Miranda,Pedro Gual (Cúpira),municipio,Miranda - Pedro Gual (Cúpira),22117,Localidad pequeña,6,6,3,1,Desierto,,Desierto,ok
Miranda,Plaza (Guarenas),municipio,Miranda - Plaza (Guarenas),222074,Localidad grande,12,12,5,2,Desierto,,Desierto,ok
Miranda,Simón Bolívar (San Francisco de Yare),municipio,Miranda - Simón Bolívar (San Francisco de Yare),44847,Localidad mediana,13,13,9,3,Desierto,,Desierto,ok
Miranda,Sucre (Petare),municipio,Miranda - Sucre (Petare),641570,Localidad grande,13,12,4,6,Semidesierto,,Semidesierto,ok
Miranda,Urdaneta (Cúa),municipio,Miranda - Urdaneta (Cúa),155930,Localidad grande,16,15,12,4,Desierto,,Desierto,ok
Miranda,Zamora (Guatire),municipio,Miranda - Zamora (Guatire),203416,Localidad grande,12,12,5,2,Desierto,,Desierto,ok
Monagas,Acosta (San Antonio de Capayacuar),municipio,Monagas - Acosta (San Antonio de Capayacuar),17972,Localidad pequeña,8,7,6,1,Desierto,,Desierto,ok
Monagas,Aguasay,municipio,Monagas - Aguasay,11999,Localidad pequeña,5,5,1,1,Desierto,,Desierto,ok
Monagas,Bolívar (Caripito),municipio,Monagas - Bolívar (Caripito),39209,Localidad mediana,8,8,1,1,Desierto,,Desierto,ok
Monagas,Caripe,municipio,Monagas - Caripe,34813,Localidad mediana,9,9,1,2,Desierto,,Desierto,ok
Monagas,Cedeño (Caicara de Maturín),municipio,Monagas - Cedeño (Caicara de Maturín),36107,Localidad mediana,7,7,2,1,Desierto,,Desierto,ok
Monagas,Libertador (Temblador),municipio,Monagas - Libertador (Temblador),45049,Localidad mediana,8,7,2,,Desierto,,Desierto,ok
Monagas,Maturín,municipio,Monagas - Maturín,562677,Localidad grande,12,12,8,4,Desierto,,Desierto,ok
Monagas,Piar (Aragua de Maturín),municipio,Monagas - Piar (Aragua de Maturín),46141,Localidad mediana,8,7,4,2,Desierto,,Desierto,ok
Monagas,Punceres (Quiriquire),municipio,Monagas - Punceres (Quiriquire),27714,Localidad mediana,7,5,3,,Desierto,,Desierto,ok
Monagas,Santa Bárbara,municipio,Monagas - Santa Bárbara,9797,Localidad pequeña,6,6,1,1,Desierto,,Desierto,ok
Monagas,Sotillo (Barrancas del Orinoco),municipio,Monagas - Sotillo (Barrancas del Orinoco),24168,Localidad pequeña,9,8,4,1,Desierto,,Desierto,ok
Monagas,Uracoa,municipio,Monagas - Uracoa,9514,Localidad pequeña,6,5,3,1,Desierto,,Desierto,ok
Monagas,Zamora (Punta de Mata),municipio,Monagas - Zamora (Punta de Mata),65951,Localidad mediana,10,10,2,3,Desierto,,Desierto,ok
Nueva Esparta,Antolín del Campo (La Plaza de Paraguachí),municipio,Nueva Esparta - Antolín del Campo (La Plaza de Paraguachí),32147,Localidad mediana,8,6,7,2,Desierto,,Desierto,ok
Nueva Esparta,Arismendi (La Asunción),municipio,Nueva Esparta - Arismendi (La Asunción),32950,Localidad mediana,10,10,6,1,Desierto,,Desierto,ok
Nueva Esparta,Díaz (San Juan Bautista),municipio,Nueva Esparta - Díaz (San Juan Bautista),81437,Localidad mediana,6,5,5,2,Desierto,,Desierto,ok
Nueva Esparta,García (El Valle del Espíritu Santo),municipio,Nueva Esparta - García (El Valle del Espíritu Santo),77614,Localidad mediana,7,5,5,1,Desierto,,Desierto,ok
Nueva Esparta,Gómez (Santa Ana),municipio,Nueva Esparta - Gómez (Santa Ana),46933,Localidad mediana,6,5,4,2,Desierto,,Desierto,ok
Nueva Esparta,Maneiro (Pampatar),municipio,Nueva Esparta - Maneiro (Pampatar),58556,Localidad mediana,10,10,5,1,Desierto,,Desierto,ok
Nueva Esparta,Marcano (Juan Griego),municipio,Nueva Esparta - Marcano (Juan Griego),41537,Localidad mediana,8,6,6,1,Desierto,,Desierto,ok
Nueva Esparta,Mariño (Porlamar),municipio,Nueva Esparta - Mariño (Porlamar),117183,Localidad grande,10,10,5,1,Desierto,,Desierto,ok
Nueva Esparta,Península de Macanao (Boca de Río),municipio,Nueva Esparta - Península de Macanao (Boca de Río),30094,Localidad mediana,5,4,4,2,Desierto,,Desierto,ok
Nueva Esparta,Tubores (Punta de Piedras),municipio,Nueva Esparta - Tubores (Punta de Piedras),42180,Localidad mediana,5,5,4,2,Desierto,,Desierto,ok
Nueva Esparta,Villalba (San Pedro de Coche),municipio,Nueva Esparta - Villalba (San Pedro de Coche),10281,Localidad pequeña,4,4,2,2,Desierto,,Desierto,ok
Portuguesa,Agua Blanca,municipio,Portuguesa - Agua Blanca,21300,Localidad pequeña,15,12,11,1,Desierto,,Desierto,ok
Portuguesa,Araure,municipio,Portuguesa - Araure,172372,Localidad grande,22,22,14,3,Desierto,,Desierto,ok
Portuguesa,Esteller (Píritu),municipio,Portuguesa - Esteller (Píritu),45254,Localidad mediana,14,12,9,1,Desierto,,Desierto,ok
Portuguesa,Guanare,municipio,Portuguesa - Guanare,205081,Localidad grande,22,22,12,3,Desierto,,Desierto,ok
Portuguesa,Guanarito,municipio,Portuguesa - Guanarito,38397,Localidad mediana,12,9,9,1,Desierto,,Desierto,ok
Portuguesa,Monseñor José Vicenti de Unda (Chabasquén de Unda),municipio,Portuguesa - Monseñor José Vicenti de Unda (Chabasquén de Unda),24232,Localidad pequeña,10,8,9,1,Desierto,,Desierto,ok
Portuguesa,Ospino,municipio,Portuguesa - Ospino,49795,Localidad mediana,18,17,10,3,Desierto,,Desierto,ok
Portuguesa,Páez (Acarigua),municipio,Portuguesa - Páez (Acarigua),187727,Localidad grande,22,22,14,3,Desierto,,Desierto,ok
Portuguesa,Papelón,municipio,Portuguesa - Papelón,16995,Localidad pequeña,12,8,11,1,Desierto,,Desierto,ok
Portuguesa,San Genaro de Boconoíto (Boconoíto),municipio,Portuguesa - San Genaro de Boconoíto (Boconoíto),23872,Localidad pequeña,10,9,9,1,Desierto,,Desierto,ok
Portuguesa,San Rafael de Onoto,municipio,Portuguesa - San Rafael de Onoto,18908,Localidad pequeña,11,10,9,2,Desierto,,Desierto,ok
Portuguesa,Santa Rosalía (El Playón),municipio,Portuguesa - Santa Rosalía (El Playón),17885,Localidad pequeña,10,8,9,2,Desierto,,Desierto,ok
Portuguesa,Sucre (Biscucuy),municipio,Portuguesa - Sucre (Biscucuy),42501,Localidad mediana,12,11,9,1,Desierto,,Desierto,ok
Portuguesa,Turén (Villa Bruzual),municipio,Portuguesa - Turén (Villa Bruzual),65928,Localidad mediana,15,14,9,2,Desierto,,Desierto,ok
Sucre,Andrés Eloy Blanco (Casanay),municipio,Sucre - Andrés Eloy Blanco (Casanay),28337,Localidad mediana,4,3,3,1,Desierto,,Desierto,ok
Sucre,Andrés Mata (San José de Aerocuar),municipio,Sucre - Andrés Mata (San José de Aerocuar),21211,Localidad pequeña,4,4,3,1,Desierto,,Desierto,ok
Sucre,Arismendi (Río Caribe),municipio,Sucre - Arismendi (Río Caribe),50589,Localidad mediana,5,5,3,2,Desierto,,Desierto,ok
Sucre,Benítez (El Pilar),municipio,Sucre - Benítez (El Pilar),33449,Localidad mediana,2,2,1,1,Desierto,,Desierto,ok
Sucre,Bermúdez (Carúpano),municipio,Sucre - Bermúdez (Carúpano),149120,Localidad grande,5,5,5,2,Desierto,,Desierto,ok
Sucre,Bolívar (Marigüitar),municipio,Sucre - Bolívar (Marigüitar),23642,Localidad pequeña,3,3,1,1,Desierto,,Desierto,ok
Sucre,Cajigal (Yaguaraparo),municipio,Sucre - Cajigal (Yaguaraparo),22706,Localidad pequeña,3,3,1,2,Desierto,,Desierto,ok
Sucre,Cruz Salmerón Acosta (Araya),municipio,Sucre - Cruz Salmerón Acosta (Araya),37770,Localidad mediana,4,4,3,1,Desierto,,Desierto,ok
Sucre,Libertador (Tunapuy),municipio,Sucre - Libertador (Tunapuy),10281,Localidad pequeña,1,1,1,,Desierto,,Desierto,ok
Sucre,Mariño (Irapa).,municipio,Sucre - Mariño (Irapa).,25845,Localidad mediana,2,2,2,,Desierto,,Desierto,ok
Sucre,Mejía (San Antonio del Golfo),municipio,Sucre - Mejía (San Antonio del Golfo),15101,Localidad pequeña,3,3,2,1,Desierto,,Desierto,ok
Sucre,Montes (Cumanacoa),municipio,Sucre - Montes (Cumanacoa),57312,Localidad mediana,5,5,4,1,Desierto,,Desierto,ok
Sucre,Ribero (Cariaco),municipio,Sucre - Ribero (Cariaco),65054,Localidad mediana,4,4,4,1,Desierto,,Desierto,ok
Sucre,Sucre (Cumaná),municipio,Sucre - Sucre (Cumaná),402649,Localidad grande,6,6,4,2,Desierto,,Desierto,ok
Sucre,Valdez (Güiria),municipio,Sucre - Valdez (Güiria),44077,Localidad mediana,3,3,1,1,Desierto,,Desierto,ok
Táchira,Andrés Bello (Cordero),municipio,Táchira - Andrés Bello (Cordero),17464,Localidad pequeña,7,7,3,,Desierto,,Desierto,ok
Táchira,Antonio Rómulo Costa (Las Mesas),municipio,Táchira - Antonio Rómulo Costa (Las Mesas),8992,Localidad pequeña,8,8,5,,Desierto,,Desierto,ok
Táchira,Ayacucho (Colón),municipio,Táchira - Ayacucho (Colón),49810,Localidad mediana,13,12,8,2,Desierto,,Desierto,ok
Táchira,Bolívar (San Antonio del Táchira),municipio,Táchira - Bolívar (San Antonio del Táchira),52935,Localidad mediana,9,9,3,1,Desierto,,Desierto,ok
Táchira,Cárdenas (Táriba),municipio,Táchira - Cárdenas (Táriba),110318,Localidad grande,11,11,3,1,Desierto,,Desierto,ok
Táchira,Córdoba (Santa Ana de Táchira),municipio,Táchira - Córdoba (Santa Ana de Táchira),28235,Localidad mediana,8,8,3,,Desierto,,Desierto,ok
Táchira,Fernández Feo (San Rafael del Piñal),municipio,Táchira - Fernández Feo (San Rafael del Piñal),38947,Localidad mediana,5,5,2,1,Desierto,,Desierto,ok
Táchira,Francisco de Miranda (San José de Bolívar),municipio,Táchira - Francisco de Miranda (San José de Bolívar),3475,Localidad pequeña,9,7,7,,Desierto,,Desierto,ok
Táchira,García de Hevia (La Fría),municipio,Táchira - García de Hevia (La Fría),41748,Localidad mediana,10,8,6,1,Desierto,,Desierto,ok
Táchira,Guásimos (Palmira),municipio,Táchira - Guásimos (Palmira),38325,Localidad mediana,9,8,4,1,Desierto,,Desierto,ok
Táchira,Independencia (Capacho Nuevo),municipio,Táchira - Independencia (Capacho Nuevo),32009,Localidad mediana,9,8,4,,Desierto,,Desierto,ok
Táchira,Jáuregui (La Grita),municipio,Táchira - Jáuregui (La Grita),35659,Localidad mediana,13,13,9,1,Desierto,,Desierto,ok
Táchira,José María Vargas (El Cobre),municipio,Táchira - José María Vargas (El Cobre),8660,Localidad pequeña,10,10,8,,Desierto,,Desierto,ok
Táchira,Junín (Rubio),municipio,Táchira - Junín (Rubio),74267,Localidad mediana,13,13,8,2,Desierto,,Desierto,ok
Táchira,San Judas Tadeo (Umuquena),municipio,Táchira - San Judas Tadeo (Umuquena),6369,Localidad pequeña,8,8,5,,Desierto,,Desierto,ok
Táchira,Libertad (Capacho Viejo),municipio,Táchira - Libertad (Capacho Viejo),23542,Localidad pequeña,10,10,3,,Desierto,,Desierto,ok
Táchira,Libertador (Abejales),municipio,Táchira - Libertador (Abejales),18880,Localidad pequeña,4,4,1,,Desierto,,Desierto,ok
Táchira,Lobatera,municipio,Táchira - Lobatera,11179,Localidad pequeña,7,6,5,2,Desierto,,Desierto,ok
Táchira,Michelena,municipio,Táchira - Michelena,16361,Localidad pequeña,9,8,6,2,Desierto,,Desierto,ok
Táchira,Panamericano (Coloncito),municipio,Táchira - Panamericano (Coloncito),27188,Localidad mediana,7,6,6,1,Desierto,,Desierto,ok
Táchira,Pedro María Ureña (Ureña),municipio,Táchira - Pedro María Ureña (Ureña),45026,Localidad mediana,9,9,3,1,Desierto,,Desierto,ok
Táchira,Rafael Urdaneta (Delicias),municipio,Táchira - Rafael Urdaneta (Delicias),4986,Localidad pequeña,6,5,3,,Desierto,,Desierto,ok
Táchira,Samuel Dario Maldonado (La Tendida),municipio,Táchira - Samuel Dario Maldonado (La Tendida),15875,Localidad pequeña,6,5,3,1,Desierto,,Desierto,ok
Táchira,San Cristóbal,municipio,Táchira - San Cristóbal,231079,Localidad grande,15,14,11,2,Desierto,,Desierto,ok
Táchira,Seboruco,municipio,Táchira - Seboruco,16297,Localidad pequeña,9,8,7,,Desierto,,Desierto,ok
Táchira,Simón Rodríguez (San Simon),municipio,Táchira - Simón Rodríguez (San Simon),2125,Localidad pequeña,2,2,1,,Desierto,,Desierto,ok
Táchira,Sucre (Queniquea),municipio,Táchira - Sucre (Queniquea),6331,Localidad pequeña,7,7,4,,Desierto,,Desierto,ok
Táchira,Torbes (San Josecito),municipio,Táchira - Torbes (San Josecito),43559,Localidad mediana,10,10,3,1,Desierto,,Desierto,ok
Táchira,Uribante (Pregonero),municipio,Táchira - Uribante (Pregonero),17219,Localidad pequeña,5,4,3,,Desierto,,Desierto,ok
Zulia,Bolívar (Tía Juana),municipio,Zulia - Bolívar (Tía Juana),44094,Localidad mediana,23,21,13,7,Posible bosque,,Semibosque,ok
Zulia,Baralt (San Timoteo),municipio,Zulia - Baralt (San Timoteo),92904,Localidad mediana,18,16,11,3,Desierto,,Desierto,ok
Zulia,Cabimas,municipio,Zulia - Cabimas,274088,Localidad grande,39,39,20,11,Posible bosque,,Semibosque,ok
Zulia,Catatumbo (Encontrados),municipio,Zulia - Catatumbo (Encontrados),41326,Localidad mediana,16,13,11,4,Desierto,,Desierto,ok
Zulia,Colón (San Carlos del Zulia),municipio,Zulia - Colón (San Carlos del Zulia),127440,Localidad grande,12,11,6,2,Desierto,,Desierto,ok
Zulia,Guajira (Sinamaica),municipio,Zulia - Guajira (Sinamaica),67194,Localidad mediana,24,18,17,6,Semibosque,,Semibosque,ok
Zulia,Padilla (El Toro),municipio,Zulia - Padilla (El Toro),12594,Localidad pequeña,10,8,7,2,Desierto,,Desierto,ok
Zulia,Pulgar (Pueblo Nuevo-El Chivo),municipio,Zulia - Pulgar (Pueblo Nuevo-El Chivo),33351,Localidad mediana,10,9,6,2,Desierto,,Desierto,ok
Zulia,Lossada (La Concepción),municipio,Zulia - Lossada (La Concepción),118919,Localidad grande,21,19,10,6,Semidesierto,,Semidesierto,ok
Zulia,Semprún (Casigua El Cubo),municipio,Zulia - Semprún (Casigua El Cubo),30216,Localidad mediana,10,10,7,0,Desierto,,Desierto,ok
Zulia,La Cañada de Urdaneta (Concepción),municipio,Zulia - La Cañada de Urdaneta (Concepción),83543,Localidad mediana,20,19,9,6,Semibosque,,Semibosque,ok
Zulia,Lagunillas (Ciudad Ojeda),municipio,Zulia - Lagunillas (Ciudad Ojeda),200092,Localidad grande,35,35,22,12,Posible bosque,,Semibosque,ok
Zulia,Machiques,municipio,Zulia - Machiques,124492,Localidad grande,28,28,15,8,Posible bosque,,Semibosque,ok
Zulia,Mara (San Rafael del Moján),municipio,Zulia - Mara (San Rafael del Moján),202242,Localidad grande,14,10,9,5,Desierto,,Desierto,ok
Zulia,Maracaibo,municipio,Zulia - Maracaibo,1560837,Localidad grande,51,51,30,17,Posible bosque,,Semibosque,ok
Zulia,Miranda (Los Puertos de Altagracia),municipio,Zulia - Miranda (Los Puertos de Altagracia),99681,Localidad mediana,26,26,14,9,Posible bosque,,Semibosque,ok
Zulia,Rosario (La Villa del Rosario),municipio,Zulia - Rosario (La Villa del Rosario),86983,Localidad mediana,24,23,13,7,Posible bosque,,Semibosque,ok
Zulia,San Francisco,municipio,Zulia - San Francisco,462417,Localidad grande,39,38,22,12,Posible bosque,,Semibosque,ok
Zulia,Santa Rita,municipio,Zulia - Santa Rita,58912,Localidad mediana,28,27,14,9,Posible bosque,,Semibosque,ok
Zulia,Sucre (Bobures),municipio,Zulia - Sucre (Bobures),60086,Localidad mediana,8,7,5,2,Desierto,,Desierto,ok
Zulia,Valmore Rodríguez (Bachaquero),municipio,Zulia - Valmore Rodríguez (Bachaquero),52524,Localidad mediana,18,17,12,6,Semibosque,,Semibosque,ok
